text,entities
Bahunpura,"[[0, 9, 'LOCATION']]"
Bahuntar,"[[0, 8, 'LOCATION']]"
Bahuntari,"[[0, 9, 'LOCATION']]"
Bahunthan,"[[0, 9, 'LOCATION']]"
Bahunthok,"[[0, 9, 'LOCATION']]"
Bahuntol,"[[0, 8, 'LOCATION']]"
Bahuntoli,"[[0, 9, 'LOCATION']]"
Bahuradi,"[[0, 8, 'LOCATION']]"
Bahuwan,"[[0, 7, 'LOCATION']]"
Bai,"[[0, 3, 'LOCATION']]"
Baibaha,"[[0, 7, 'LOCATION']]"
Baibang,"[[0, 7, 'LOCATION']]"
Baibhahapatti,"[[0, 13, 'LOCATION']]"
Baibhuk,"[[0, 7, 'LOCATION']]"
Baibitti,"[[0, 8, 'LOCATION']]"
Baibu,"[[0, 5, 'LOCATION']]"
Baichado,"[[0, 8, 'LOCATION']]"
Baichipin,"[[0, 9, 'LOCATION']]"
Baida,"[[0, 5, 'LOCATION']]"
Baida School Chowk,"[[0, 18, 'LOCATION']]"
Baidada,"[[0, 7, 'LOCATION']]"
Baidam,"[[0, 6, 'LOCATION']]"
Baidanda,"[[0, 8, 'LOCATION']]"
Baidangtol,"[[0, 10, 'LOCATION']]"
Baidar Bhanjyang,"[[0, 16, 'LOCATION']]"
Baidartol,"[[0, 9, 'LOCATION']]"
Baidauli,"[[0, 8, 'LOCATION']]"
Baide,"[[0, 5, 'LOCATION']]"
Baidehi Halt,"[[0, 12, 'LOCATION']]"
Baidehitol,"[[0, 10, 'LOCATION']]"
Baidhanathpur,"[[0, 13, 'LOCATION']]"
Baidheli,"[[0, 8, 'LOCATION']]"
Baidi,"[[0, 5, 'LOCATION']]"
Baidichhap,"[[0, 10, 'LOCATION']]"
Baidikuna Basti,"[[0, 15, 'LOCATION']]"
Baidiliya,"[[0, 9, 'LOCATION']]"
Baidipani,"[[0, 9, 'LOCATION']]"
Baidipur,"[[0, 8, 'LOCATION']]"
Baidra,"[[0, 6, 'LOCATION']]"
Baidyagaun,"[[0, 10, 'LOCATION']]"
Baieri,"[[0, 6, 'LOCATION']]"
Baigaun,"[[0, 7, 'LOCATION']]"
Baighundura,"[[0, 11, 'LOCATION']]"
Baigunbari,"[[0, 10, 'LOCATION']]"
Baigundhura,"[[0, 11, 'LOCATION']]"
Baiheni,"[[0, 7, 'LOCATION']]"
Baij,"[[0, 4, 'LOCATION']]"
Baija,"[[0, 5, 'LOCATION']]"
Baijalpur,"[[0, 9, 'LOCATION']]"
Baijanath,"[[0, 9, 'LOCATION']]"
Baijanath Chok,"[[0, 14, 'LOCATION']]"
Baijanathpur,"[[0, 12, 'LOCATION']]"
Baijapur,"[[0, 8, 'LOCATION']]"
Baiji Bada,"[[0, 10, 'LOCATION']]"
Baijibara,"[[0, 9, 'LOCATION']]"
Baijudada,"[[0, 9, 'LOCATION']]"
Baik,"[[0, 4, 'LOCATION']]"
Baika,"[[0, 5, 'LOCATION']]"
Baikanda,"[[0, 8, 'LOCATION']]"
Baikatte,"[[0, 8, 'LOCATION']]"
Baike,"[[0, 5, 'LOCATION']]"
Baikhim,"[[0, 7, 'LOCATION']]"
Baikhoriya,"[[0, 10, 'LOCATION']]"
Baikuntha,"[[0, 9, 'LOCATION']]"
Baikuntha Chowk,"[[0, 15, 'LOCATION']]"
Baikunthagaun,"[[0, 13, 'LOCATION']]"
Baikunthapur,"[[0, 12, 'LOCATION']]"
Baikunthe,"[[0, 9, 'LOCATION']]"
Bailani,"[[0, 7, 'LOCATION']]"
Bailband,"[[0, 8, 'LOCATION']]"
Bailbas,"[[0, 7, 'LOCATION']]"
Baildanda,"[[0, 9, 'LOCATION']]"
Bailek,"[[0, 6, 'LOCATION']]"
Bailgaun,"[[0, 8, 'LOCATION']]"
Bailla,"[[0, 6, 'LOCATION']]"
Bailu,"[[0, 5, 'LOCATION']]"
Baim,"[[0, 4, 'LOCATION']]"
Baima,"[[0, 5, 'LOCATION']]"
Baina,"[[0, 5, 'LOCATION']]"
Bainagau,"[[0, 8, 'LOCATION']]"
Baindada Market,"[[0, 15, 'LOCATION']]"
Baine,"[[0, 5, 'LOCATION']]"
Baingakatti,"[[0, 11, 'LOCATION']]"
Baingkhu,"[[0, 8, 'LOCATION']]"
Bainigaun,"[[0, 9, 'LOCATION']]"
Bainiya,"[[0, 7, 'LOCATION']]"
Bainkanda,"[[0, 9, 'LOCATION']]"
Bainthan,"[[0, 8, 'LOCATION']]"
Bairabang,"[[0, 9, 'LOCATION']]"
Bairadanda,"[[0, 10, 'LOCATION']]"
Bairadi,"[[0, 7, 'LOCATION']]"
Bairagi Thati,"[[0, 13, 'LOCATION']]"
Bairagi Tol,"[[0, 11, 'LOCATION']]"
Bairagitol,"[[0, 10, 'LOCATION']]"
Bairagiya,"[[0, 9, 'LOCATION']]"
Bairagnath,"[[0, 10, 'LOCATION']]"
Bairakhuni,"[[0, 10, 'LOCATION']]"
Bairani,"[[0, 7, 'LOCATION']]"
Bairasim,"[[0, 8, 'LOCATION']]"
Bairathpur,"[[0, 10, 'LOCATION']]"
Bairathpur Nayatola,"[[0, 19, 'LOCATION']]"
Bairati,"[[0, 7, 'LOCATION']]"
Bairawa,"[[0, 7, 'LOCATION']]"
Bairawatol,"[[0, 10, 'LOCATION']]"
Bairban,"[[0, 7, 'LOCATION']]"
Bairbana,"[[0, 8, 'LOCATION']]"
Bairbani,"[[0, 8, 'LOCATION']]"
Bairbari,"[[0, 8, 'LOCATION']]"
Bairbona Bariyahi,"[[0, 17, 'LOCATION']]"
Bairdagighat,"[[0, 12, 'LOCATION']]"
Baire,"[[0, 5, 'LOCATION']]"
Baireni,"[[0, 7, 'LOCATION']]"
Baireni Chowk,"[[0, 13, 'LOCATION']]"
Baireni-Bajar,"[[0, 13, 'LOCATION']]"
Bairenitar,"[[0, 10, 'LOCATION']]"
Bairganiya,"[[0, 10, 'LOCATION']]"
Bairghat,"[[0, 8, 'LOCATION']]"
Bairha,"[[0, 6, 'LOCATION']]"
Bairhawa,"[[0, 8, 'LOCATION']]"
Bairhawa Naka,"[[0, 13, 'LOCATION']]"
Bairiahawa,"[[0, 10, 'LOCATION']]"
Bairidaha,"[[0, 9, 'LOCATION']]"
Bairigare,"[[0, 9, 'LOCATION']]"
Bairihawa,"[[0, 9, 'LOCATION']]"
Bairihawa(Kauwakoda),"[[0, 20, 'LOCATION']]"
Bairikhel,"[[0, 9, 'LOCATION']]"
Bairikholagaun,"[[0, 14, 'LOCATION']]"
Bairiya,"[[0, 7, 'LOCATION']]"
Bairiyatol,"[[0, 10, 'LOCATION']]"
Bairkot,"[[0, 7, 'LOCATION']]"
Bairtar,"[[0, 7, 'LOCATION']]"
Bairwa,"[[0, 6, 'LOCATION']]"
Bairya,"[[0, 6, 'LOCATION']]"
Bairyahi,"[[0, 8, 'LOCATION']]"
Bais Salla,"[[0, 10, 'LOCATION']]"
Baisa,"[[0, 5, 'LOCATION']]"
Baisabari,"[[0, 9, 'LOCATION']]"
Baisajapur,"[[0, 10, 'LOCATION']]"
Baisakha,"[[0, 8, 'LOCATION']]"
Baisakhe,"[[0, 8, 'LOCATION']]"
Baisakhi,"[[0, 8, 'LOCATION']]"
Baischaur,"[[0, 9, 'LOCATION']]"
Baisdanga,"[[0, 9, 'LOCATION']]"
Baise,"[[0, 5, 'LOCATION']]"
Baisegodo,"[[0, 9, 'LOCATION']]"
Baisek,"[[0, 6, 'LOCATION']]"
Baiseli,"[[0, 7, 'LOCATION']]"
Baiseni,"[[0, 7, 'LOCATION']]"
Baisera,"[[0, 7, 'LOCATION']]"
Baiseri,"[[0, 7, 'LOCATION']]"
Baisgharbasti,"[[0, 13, 'LOCATION']]"
Baishakhe,"[[0, 9, 'LOCATION']]"
Baishakhe Gaun,"[[0, 14, 'LOCATION']]"
Baishakhi Tol,"[[0, 13, 'LOCATION']]"
Baisi Bichawa,"[[0, 13, 'LOCATION']]"
Baisi Naya Sahutol,"[[0, 18, 'LOCATION']]"
Baisjagar,"[[0, 9, 'LOCATION']]"
Baisjor,"[[0, 7, 'LOCATION']]"
Baisna,"[[0, 6, 'LOCATION']]"
Baisnpani,"[[0, 9, 'LOCATION']]"
Baisodi,"[[0, 7, 'LOCATION']]"
Baispani,"[[0, 8, 'LOCATION']]"
Baistople,"[[0, 9, 'LOCATION']]"
Baisyan,"[[0, 7, 'LOCATION']]"
Baitada,"[[0, 7, 'LOCATION']]"
Baitadi,"[[0, 7, 'LOCATION']]"
Baitar,"[[0, 6, 'LOCATION']]"
Baitari,"[[0, 7, 'LOCATION']]"
Baitesh,"[[0, 7, 'LOCATION']]"
Baithak,"[[0, 7, 'LOCATION']]"
Baithakpur,"[[0, 10, 'LOCATION']]"
Baithar,"[[0, 7, 'LOCATION']]"
Baiti,"[[0, 5, 'LOCATION']]"
Baitighatgaun,"[[0, 13, 'LOCATION']]"
Baitol,"[[0, 6, 'LOCATION']]"
Baitola,"[[0, 7, 'LOCATION']]"
Baitoli Aul,"[[0, 11, 'LOCATION']]"
Baitung,"[[0, 7, 'LOCATION']]"
Baiya Behadi,"[[0, 12, 'LOCATION']]"
Baiyadi,"[[0, 7, 'LOCATION']]"
Baj,"[[0, 3, 'LOCATION']]"
Bajabang,"[[0, 8, 'LOCATION']]"
Bajabari,"[[0, 8, 'LOCATION']]"
Bajad,"[[0, 5, 'LOCATION']]"
Bajada,"[[0, 6, 'LOCATION']]"
Bajadi,"[[0, 6, 'LOCATION']]"
Bajagau,"[[0, 7, 'LOCATION']]"
Bajagaun,"[[0, 8, 'LOCATION']]"
Bajaha,"[[0, 6, 'LOCATION']]"
Bajaidanda,"[[0, 10, 'LOCATION']]"
Bajakhet,"[[0, 8, 'LOCATION']]"
Bajakot,"[[0, 7, 'LOCATION']]"
Bajam,"[[0, 5, 'LOCATION']]"
Bajandanda,"[[0, 10, 'LOCATION']]"
Bajanee,"[[0, 7, 'LOCATION']]"
Bajani,"[[0, 6, 'LOCATION']]"
Bajar,"[[0, 5, 'LOCATION']]"
Bajarahi,"[[0, 8, 'LOCATION']]"
Bajarahiguthi,"[[0, 13, 'LOCATION']]"
Bajarang,"[[0, 8, 'LOCATION']]"
Bajare,"[[0, 6, 'LOCATION']]"
Bajaredanda,"[[0, 11, 'LOCATION']]"
Bajarhatti,"[[0, 10, 'LOCATION']]"
Bajari,"[[0, 6, 'LOCATION']]"
Bajaritol,"[[0, 9, 'LOCATION']]"
Bajarkhutta,"[[0, 11, 'LOCATION']]"
Bajarkot,"[[0, 8, 'LOCATION']]"
Bajarmara,"[[0, 9, 'LOCATION']]"
Bajartol,"[[0, 8, 'LOCATION']]"
Bajasthala,"[[0, 10, 'LOCATION']]"
Bajati,"[[0, 6, 'LOCATION']]"
Bajaute,"[[0, 7, 'LOCATION']]"
Bajayo,"[[0, 6, 'LOCATION']]"
Bajbang,"[[0, 7, 'LOCATION']]"
Bajbarnetar,"[[0, 11, 'LOCATION']]"
Bajbata,"[[0, 7, 'LOCATION']]"
Bajbot,"[[0, 6, 'LOCATION']]"
Bajchakot,"[[0, 9, 'LOCATION']]"
Bajdaiya,"[[0, 8, 'LOCATION']]"
Bajdanda,"[[0, 8, 'LOCATION']]"
Baje,"[[0, 4, 'LOCATION']]"
Bajed,"[[0, 5, 'LOCATION']]"
Bajeda,"[[0, 6, 'LOCATION']]"
Bajeda Ali,"[[0, 10, 'LOCATION']]"
Bajedi,"[[0, 6, 'LOCATION']]"
Bajedichaur,"[[0, 11, 'LOCATION']]"
Bajei,"[[0, 5, 'LOCATION']]"
Bajengkhani,"[[0, 11, 'LOCATION']]"
Bajeni,"[[0, 6, 'LOCATION']]"
Bajer,"[[0, 5, 'LOCATION']]"
Bajeri,"[[0, 6, 'LOCATION']]"
Bajgau,"[[0, 6, 'LOCATION']]"
Bajgaun,"[[0, 7, 'LOCATION']]"
Bajgoun,"[[0, 7, 'LOCATION']]"
Bajh,"[[0, 4, 'LOCATION']]"
Bajha,"[[0, 5, 'LOCATION']]"
Bajha Patan,"[[0, 11, 'LOCATION']]"
Bajha Pokhara,"[[0, 13, 'LOCATION']]"
Bajha Tal,"[[0, 9, 'LOCATION']]"
Bajhabadi,"[[0, 9, 'LOCATION']]"
Bajhadi,"[[0, 7, 'LOCATION']]"
Bajhagau,"[[0, 8, 'LOCATION']]"
Bajhagaun,"[[0, 9, 'LOCATION']]"
Bajhakharka,"[[0, 11, 'LOCATION']]"
Bajhakhet,"[[0, 9, 'LOCATION']]"
Bajhan Pade,"[[0, 11, 'LOCATION']]"
Bajhanga,"[[0, 8, 'LOCATION']]"
Bajhange,"[[0, 8, 'LOCATION']]"
Bajhange Tol,"[[0, 12, 'LOCATION']]"
Bajhani,"[[0, 7, 'LOCATION']]"
Bajhbange,"[[0, 9, 'LOCATION']]"
Bajhe,"[[0, 5, 'LOCATION']]"
Bajhedi,"[[0, 7, 'LOCATION']]"
Bajhgara,"[[0, 8, 'LOCATION']]"
Bajhgau,"[[0, 7, 'LOCATION']]"
Bajhgaunbesi,"[[0, 12, 'LOCATION']]"
Bajhghara,"[[0, 9, 'LOCATION']]"
Bajhghari,"[[0, 9, 'LOCATION']]"
Bajhi Dihi,"[[0, 10, 'LOCATION']]"
Bajhigara,"[[0, 9, 'LOCATION']]"
Bajhipokhari,"[[0, 12, 'LOCATION']]"
Bajhkattera,"[[0, 11, 'LOCATION']]"
Bajhkhada,"[[0, 9, 'LOCATION']]"
Bajhkharka,"[[0, 10, 'LOCATION']]"
Bajhkhet,"[[0, 8, 'LOCATION']]"
Bajhkol,"[[0, 7, 'LOCATION']]"
Bajhkot,"[[0, 7, 'LOCATION']]"
Bajhobari,"[[0, 9, 'LOCATION']]"
Bajhogada,"[[0, 9, 'LOCATION']]"
Bajhogartol,"[[0, 11, 'LOCATION']]"
Bajhogaun,"[[0, 9, 'LOCATION']]"
Bajhopalpa,"[[0, 10, 'LOCATION']]"
Baji,"[[0, 4, 'LOCATION']]"
Baji Bokatiya,"[[0, 13, 'LOCATION']]"
Baji Parsiya,"[[0, 12, 'LOCATION']]"
Baji Pokhari,"[[0, 12, 'LOCATION']]"
Baji Raksan,"[[0, 11, 'LOCATION']]"
Baji Saduwa,"[[0, 11, 'LOCATION']]"
Baji Tola,"[[0, 9, 'LOCATION']]"
Bajibang,"[[0, 8, 'LOCATION']]"
Bajigaun,"[[0, 8, 'LOCATION']]"
Bajighar,"[[0, 8, 'LOCATION']]"
Bajikamata,"[[0, 10, 'LOCATION']]"
Bajikuti,"[[0, 8, 'LOCATION']]"
Bajilek,"[[0, 7, 'LOCATION']]"
Bajimada,"[[0, 8, 'LOCATION']]"
Bajimpakgaun,"[[0, 12, 'LOCATION']]"
Bajini,"[[0, 6, 'LOCATION']]"
Bajipokhari,"[[0, 11, 'LOCATION']]"
Bajipur,"[[0, 7, 'LOCATION']]"
Bajirganj,"[[0, 9, 'LOCATION']]"
Bajirnagar,"[[0, 10, 'LOCATION']]"
Bajit,"[[0, 5, 'LOCATION']]"
Bajitol,"[[0, 7, 'LOCATION']]"
Bajitpur,"[[0, 8, 'LOCATION']]"
Bajkot,"[[0, 6, 'LOCATION']]"
Bajopatti,"[[0, 9, 'LOCATION']]"
Bajpata,"[[0, 7, 'LOCATION']]"
Bajpur,"[[0, 6, 'LOCATION']]"
Bajrabarahi,"[[0, 11, 'LOCATION']]"
Bajraghat,"[[0, 9, 'LOCATION']]"
Bajraha,"[[0, 7, 'LOCATION']]"
Bajrakot,"[[0, 8, 'LOCATION']]"
Bajramath,"[[0, 9, 'LOCATION']]"
Bajre Bhanjyang,"[[0, 15, 'LOCATION']]"
Bajredanda,"[[0, 10, 'LOCATION']]"
Bajthala,"[[0, 8, 'LOCATION']]"
Bajthali,"[[0, 8, 'LOCATION']]"
Baju,"[[0, 4, 'LOCATION']]"
Bajuda,"[[0, 6, 'LOCATION']]"
Bajugan,"[[0, 7, 'LOCATION']]"
Bajugaung,"[[0, 9, 'LOCATION']]"
Bajuliya,"[[0, 8, 'LOCATION']]"
Bajung,"[[0, 6, 'LOCATION']]"
Bajurani,"[[0, 8, 'LOCATION']]"
Bajure,"[[0, 6, 'LOCATION']]"
Bajurel Tol,"[[0, 11, 'LOCATION']]"
Bajuwa,"[[0, 6, 'LOCATION']]"
Bajyam,"[[0, 6, 'LOCATION']]"
Baka,"[[0, 4, 'LOCATION']]"
Bakadanda,"[[0, 9, 'LOCATION']]"
Bakadi,"[[0, 6, 'LOCATION']]"
Bakaha,"[[0, 6, 'LOCATION']]"
Bakahariya,"[[0, 10, 'LOCATION']]"
Bakainadanda,"[[0, 12, 'LOCATION']]"
Bakainiya,"[[0, 9, 'LOCATION']]"
Bakainiyatol,"[[0, 12, 'LOCATION']]"
Bakaiyatersolain,"[[0, 16, 'LOCATION']]"
Bakaiyatol,"[[0, 10, 'LOCATION']]"
Bakal,"[[0, 5, 'LOCATION']]"
Bakalbhar,"[[0, 9, 'LOCATION']]"
Bakaldum,"[[0, 8, 'LOCATION']]"
Bakale,"[[0, 6, 'LOCATION']]"
Bakalipur,"[[0, 9, 'LOCATION']]"
Bakalsen,"[[0, 8, 'LOCATION']]"
Bakamalang,"[[0, 10, 'LOCATION']]"
Bakanaruwa,"[[0, 10, 'LOCATION']]"
Bakande,"[[0, 7, 'LOCATION']]"
Bakaneswanra,"[[0, 12, 'LOCATION']]"
Bakang,"[[0, 6, 'LOCATION']]"
Bakangghyang,"[[0, 12, 'LOCATION']]"
Bakarang,"[[0, 8, 'LOCATION']]"
Bakaritol,"[[0, 9, 'LOCATION']]"
Bakarloktar,"[[0, 11, 'LOCATION']]"
Bakaspur,"[[0, 8, 'LOCATION']]"
Bakatadi,"[[0, 8, 'LOCATION']]"
Bakauli,"[[0, 7, 'LOCATION']]"
Bakchakha,"[[0, 9, 'LOCATION']]"
Bakchol,"[[0, 7, 'LOCATION']]"
Bakchuwa,"[[0, 8, 'LOCATION']]"
Bakdhauwa,"[[0, 9, 'LOCATION']]"
Bake Tole,"[[0, 9, 'LOCATION']]"
Bakena,"[[0, 6, 'LOCATION']]"
Bakepur,"[[0, 7, 'LOCATION']]"
Baketar,"[[0, 7, 'LOCATION']]"
Bakhabilam,"[[0, 10, 'LOCATION']]"
Bakhabuba,"[[0, 9, 'LOCATION']]"
Bakhabukuwa,"[[0, 11, 'LOCATION']]"
Bakhabuwa,"[[0, 9, 'LOCATION']]"
Bakhaltum,"[[0, 9, 'LOCATION']]"
Bakhanam,"[[0, 8, 'LOCATION']]"
Bakhane,"[[0, 7, 'LOCATION']]"
Bakhangma,"[[0, 9, 'LOCATION']]"
Bakhantol,"[[0, 9, 'LOCATION']]"
Bakhaphar,"[[0, 9, 'LOCATION']]"
Bakhapu,"[[0, 7, 'LOCATION']]"
Bakhapuwa,"[[0, 9, 'LOCATION']]"
Bakhar,"[[0, 6, 'LOCATION']]"
Bakhare,"[[0, 7, 'LOCATION']]"
Bakhari,"[[0, 7, 'LOCATION']]"
Bakharibhath,"[[0, 12, 'LOCATION']]"
Bakharitol,"[[0, 10, 'LOCATION']]"
Bakhariya,"[[0, 9, 'LOCATION']]"
Bakharkot Tol,"[[0, 13, 'LOCATION']]"
Bakhatigaun,"[[0, 11, 'LOCATION']]"
Bakhdar,"[[0, 7, 'LOCATION']]"
Bakhet,"[[0, 6, 'LOCATION']]"
Bakhetdhar,"[[0, 10, 'LOCATION']]"
Bakheti,"[[0, 7, 'LOCATION']]"
Bakhokatan,"[[0, 10, 'LOCATION']]"
Bakhor,"[[0, 6, 'LOCATION']]"
Bakhpalam,"[[0, 9, 'LOCATION']]"
Bakhre,"[[0, 6, 'LOCATION']]"
Bakhre Danda,"[[0, 12, 'LOCATION']]"
Bakhrejagat,"[[0, 11, 'LOCATION']]"
Bakhrekholagaun,"[[0, 15, 'LOCATION']]"
Bakhrekhor,"[[0, 10, 'LOCATION']]"
Bakhrekot,"[[0, 9, 'LOCATION']]"
Bakhreldi,"[[0, 9, 'LOCATION']]"
Bakhreldihi,"[[0, 11, 'LOCATION']]"
Bakhrepani,"[[0, 10, 'LOCATION']]"
Bakhrigau,"[[0, 9, 'LOCATION']]"
Bakhrigaun,"[[0, 10, 'LOCATION']]"
Bakhrikhor,"[[0, 10, 'LOCATION']]"
Bakhrim,"[[0, 7, 'LOCATION']]"
Bakhtaura,"[[0, 9, 'LOCATION']]"
Bakhum,"[[0, 6, 'LOCATION']]"
Bakhundol,"[[0, 9, 'LOCATION']]"
Bakhundol Height,"[[0, 16, 'LOCATION']]"
Bakhundole Chowk,"[[0, 16, 'LOCATION']]"
Bakhur,"[[0, 6, 'LOCATION']]"
Bakhuwa,"[[0, 7, 'LOCATION']]"
Bakhuwahitol,"[[0, 12, 'LOCATION']]"
Baki,"[[0, 4, 'LOCATION']]"
Bakil,"[[0, 5, 'LOCATION']]"
Bakiya,"[[0, 6, 'LOCATION']]"
Bakjot,"[[0, 6, 'LOCATION']]"
Bakkatol,"[[0, 8, 'LOCATION']]"
Bakkha,"[[0, 6, 'LOCATION']]"
Bakkhim,"[[0, 7, 'LOCATION']]"
Bakkhutol,"[[0, 9, 'LOCATION']]"
Baklahi,"[[0, 7, 'LOCATION']]"
Baklauri,"[[0, 8, 'LOCATION']]"
Baklauri Bajar,"[[0, 14, 'LOCATION']]"
Baklauri Chowk,"[[0, 14, 'LOCATION']]"
Baklauwa Sibir,"[[0, 14, 'LOCATION']]"
Bakle,"[[0, 5, 'LOCATION']]"
Bakledandagaun,"[[0, 14, 'LOCATION']]"
Baklogaun,"[[0, 9, 'LOCATION']]"
Baklukharka,"[[0, 11, 'LOCATION']]"
Bakmala,"[[0, 7, 'LOCATION']]"
Bakot,"[[0, 5, 'LOCATION']]"
Bakoti,"[[0, 6, 'LOCATION']]"
Bakotia,"[[0, 7, 'LOCATION']]"
Bakpa,"[[0, 5, 'LOCATION']]"
Bakpur,"[[0, 6, 'LOCATION']]"
Bakra,"[[0, 5, 'LOCATION']]"
Bakrakunda Tol,"[[0, 14, 'LOCATION']]"
Bakrang,"[[0, 7, 'LOCATION']]"
Bakrangchet,"[[0, 11, 'LOCATION']]"
Bakrek,"[[0, 6, 'LOCATION']]"
Bakreshwari,"[[0, 11, 'LOCATION']]"
Baksadi,"[[0, 7, 'LOCATION']]"
Baksaha,"[[0, 7, 'LOCATION']]"
Baksand,"[[0, 7, 'LOCATION']]"
Baksapur,"[[0, 8, 'LOCATION']]"
Baksawa,"[[0, 7, 'LOCATION']]"
Bakse,"[[0, 5, 'LOCATION']]"
Baksidanda,"[[0, 10, 'LOCATION']]"
Baksikhop,"[[0, 9, 'LOCATION']]"
Baksila,"[[0, 7, 'LOCATION']]"
Baksinda,"[[0, 8, 'LOCATION']]"
Baksing,"[[0, 7, 'LOCATION']]"
Baksip,"[[0, 6, 'LOCATION']]"
Baksirang,"[[0, 9, 'LOCATION']]"
Baksispur,"[[0, 9, 'LOCATION']]"
Baksuri,"[[0, 7, 'LOCATION']]"
Bakswanra,"[[0, 9, 'LOCATION']]"
Baktaura,"[[0, 8, 'LOCATION']]"
Baktuwa,"[[0, 7, 'LOCATION']]"
Baku,"[[0, 4, 'LOCATION']]"
Baku Nani,"[[0, 9, 'LOCATION']]"
Bakulachap,"[[0, 10, 'LOCATION']]"
Bakulahar,"[[0, 9, 'LOCATION']]"
Bakulahi,"[[0, 8, 'LOCATION']]"
Bakuli,"[[0, 6, 'LOCATION']]"
Bakulipur,"[[0, 9, 'LOCATION']]"
Bakuliya,"[[0, 8, 'LOCATION']]"
Bakullai,"[[0, 8, 'LOCATION']]"
Bakultar,"[[0, 8, 'LOCATION']]"
Bakum,"[[0, 5, 'LOCATION']]"
Bakumba,"[[0, 7, 'LOCATION']]"
Bakunna,"[[0, 7, 'LOCATION']]"
Bakupurwa,"[[0, 9, 'LOCATION']]"
Bakurang,"[[0, 8, 'LOCATION']]"
Bakuri,"[[0, 6, 'LOCATION']]"
Bakutiya,"[[0, 8, 'LOCATION']]"
Bakuwa,"[[0, 6, 'LOCATION']]"
Bakwana,"[[0, 7, 'LOCATION']]"
Bakway Tole,"[[0, 11, 'LOCATION']]"
Bal Chok,"[[0, 8, 'LOCATION']]"
Bala,"[[0, 4, 'LOCATION']]"
Bala Mahadev,"[[0, 12, 'LOCATION']]"
Balabakhar,"[[0, 10, 'LOCATION']]"
Balaban,"[[0, 7, 'LOCATION']]"
Balabang,"[[0, 8, 'LOCATION']]"
Balabesi,"[[0, 8, 'LOCATION']]"
Balabhadra Chowk,"[[0, 16, 'LOCATION']]"
Balach,"[[0, 6, 'LOCATION']]"
Balachaur,"[[0, 9, 'LOCATION']]"
Balachaur Patale,"[[0, 16, 'LOCATION']]"
Balachhe,"[[0, 8, 'LOCATION']]"
Balada,"[[0, 6, 'LOCATION']]"
Baladi,"[[0, 6, 'LOCATION']]"
Balae,"[[0, 5, 'LOCATION']]"
Balagiri,"[[0, 8, 'LOCATION']]"
Balaha,"[[0, 6, 'LOCATION']]"
Balahi,"[[0, 6, 'LOCATION']]"
Balai,"[[0, 5, 'LOCATION']]"
Balaipur,"[[0, 8, 'LOCATION']]"
Balajor,"[[0, 7, 'LOCATION']]"
Balaju,"[[0, 6, 'LOCATION']]"
Balaju Bypass,"[[0, 13, 'LOCATION']]"
Balaju Chowk,"[[0, 12, 'LOCATION']]"
Balajutar,"[[0, 9, 'LOCATION']]"
Balakharka,"[[0, 10, 'LOCATION']]"
Balakharkha,"[[0, 11, 'LOCATION']]"
Balaki,"[[0, 6, 'LOCATION']]"
Balakot,"[[0, 7, 'LOCATION']]"
Balala,"[[0, 6, 'LOCATION']]"
Balale,"[[0, 6, 'LOCATION']]"
Balali,"[[0, 6, 'LOCATION']]"
Balam,"[[0, 5, 'LOCATION']]"
Balam Jaipate,"[[0, 13, 'LOCATION']]"
Balambhitta,"[[0, 11, 'LOCATION']]"
Balambu,"[[0, 7, 'LOCATION']]"
Balamdanda,"[[0, 10, 'LOCATION']]"
Balame,"[[0, 6, 'LOCATION']]"
Balamigaun,"[[0, 10, 'LOCATION']]"
Balamkharka,"[[0, 11, 'LOCATION']]"
Balamta,"[[0, 7, 'LOCATION']]"
Balamtar,"[[0, 8, 'LOCATION']]"
Balan,"[[0, 5, 'LOCATION']]"
Balana Bazar,"[[0, 12, 'LOCATION']]"
Balanagar,"[[0, 9, 'LOCATION']]"
Balandi Gaun,"[[0, 12, 'LOCATION']]"
Balanga,"[[0, 7, 'LOCATION']]"
Balangaun,"[[0, 9, 'LOCATION']]"
Balangchaur,"[[0, 11, 'LOCATION']]"
Balangkha,"[[0, 9, 'LOCATION']]"
Balangkhali,"[[0, 11, 'LOCATION']]"
Balangkhim,"[[0, 10, 'LOCATION']]"
Balangkhok,"[[0, 10, 'LOCATION']]"
Balankha,"[[0, 8, 'LOCATION']]"
Balankuri,"[[0, 9, 'LOCATION']]"
Balanpatti,"[[0, 10, 'LOCATION']]"
Balanser,"[[0, 8, 'LOCATION']]"
Balanti,"[[0, 7, 'LOCATION']]"
Balaphungi,"[[0, 10, 'LOCATION']]"
Balapur,"[[0, 7, 'LOCATION']]"
Balapur Sano,"[[0, 12, 'LOCATION']]"
Balapur Thulo,"[[0, 13, 'LOCATION']]"
Balar,"[[0, 5, 'LOCATION']]"
Balara,"[[0, 6, 'LOCATION']]"
Balara Bhansartol,"[[0, 17, 'LOCATION']]"
Balara Jabditola,"[[0, 16, 'LOCATION']]"
Balara Laksmipur,"[[0, 16, 'LOCATION']]"
Balarajabdi,"[[0, 11, 'LOCATION']]"
Balaramal,"[[0, 9, 'LOCATION']]"
Balarampur,"[[0, 10, 'LOCATION']]"
Balaraokash,"[[0, 11, 'LOCATION']]"
Balardaha,"[[0, 9, 'LOCATION']]"
Balaru,"[[0, 6, 'LOCATION']]"
